bricks,hinges,modules,size,proportion2d,proportionNiels,single_neighbour_brick_ratio,single_neighbour_ratio,double_neighbour_brick_and_active_hinge_ratio,maxrel_llimbs,meanrel_llimbs,stdrel_llimbs,nlimbs,joints,joint_brick_ratio,symmetry_incl1,symmetry_incl2,symmetry_incl3,symmetry_incl4,symmetry_excl1,symmetry_excl2,symmetry_excl3,symmetry_excl4,coverage,branching,surface_area,id_string,experiment_id,generation_index,individual_index
14,5,20,1.0,0.7272727272727273,0.10078180081645664,0.8,0.5714285714285714,0.4444444444444444,0.2631578947368421,0.18421052631578946,0.17213259316477408,4,0.2222222222222222,0.26315789473684215,0.4,0.48,0.5,0.5882352941176471,0.64,0.64,0.7,0.7058823529411765,0.22727272727272727,0.3333333333333333,0.3644859813084112,20|1034-C41-1078-A01-1121-B-1122-B001020-1123-B00-1124-B-1166-B0010-1167-B00-1168-B-1210-B-770-B-814-A01-858-A01-902-A01-944-B-946-C41-986-B-987-B00-988-B0010-989-C40-991-C41-992-A01-993-B-,1,60,5901
10,9,20,1.0,0.7272727272727273,0.10078180081645664,0.75,0.6428571428571429,0.3333333333333333,0.2631578947368421,0.18421052631578946,0.17213259316477408,4,0.2222222222222222,0.4736842105263158,0.48,0.48,0.7,0.7058823529411765,0.64,0.64,0.8,0.7058823529411765,0.22727272727272727,0.3333333333333333,0.3644859813084112,20|1034-C41-1037-A-1078-A01-1122-A00-1165-B-1166-B001020-1167-B0021-1168-B-1210-B-1211-A-770-B-814-B0021-815-A-858-A00-902-A01-946-C41-987-B-988-A01-989-C41-991-C41-992-A01-993-B0021-994-B-,1,60,5902
9,10,20,1.0,0.6666666666666666,0.13589415249850587,0.7142857142857143,0.5714285714285714,0.4444444444444444,0.2631578947368421,0.18421052631578946,0.17213259316477408,4,0.2222222222222222,0.5263157894736842,0.4,0.48,0.5,0.75,0.64,0.64,0.7,0.75,0.20833333333333334,0.3333333333333333,0.33620689655172414,20|1031-B-1034-C41-1078-A01-1122-A00-1165-B-1166-B001020-1167-B00-1168-B-1209-A-1210-B0121-1254-A-770-A-814-A01-858-A01-902-A01-946-C41-986-B-987-B0010-988-A01-989-C41-991-C41-992-A01-993-B-,1,60,5903
8,11,20,1.0,0.75,0.10078180081645664,0.5,0.42857142857142855,0.6666666666666666,0.2631578947368421,0.21052631578947367,0.10886621079036347,4,0.1111111111111111,0.5789473684210527,0.4166666666666667,0.4,0.8421052631578947,0.5,0.75,0.72,0.8421052631578947,0.75,0.18518518518518517,0.3333333333333333,0.3023255813953488,20|1032-B-1034-C41-1078-A01-1122-A01-1166-A01-1210-A00-1254-B-770-A-814-A01-856-A-858-A01-900-B01-902-A01-944-B00-946-C41-986-A-987-B01-988-B001020-989-C40-991-C41-992-A01-993-B00-994-B-,1,60,5904
10,9,20,1.0,0.7272727272727273,0.10078180081645664,0.75,0.6428571428571429,0.3333333333333333,0.2631578947368421,0.18421052631578946,0.17213259316477408,4,0.1111111111111111,0.4736842105263158,0.56,0.56,0.8,0.7058823529411765,0.64,0.64,0.8,0.8235294117647058,0.22727272727272727,0.3333333333333333,0.3644859813084112,20|1034-C41-1078-A01-1122-A00-1165-B-1166-B001020-1167-B-1209-A-1210-B1121-1211-A-770-B-813-B-814-B0010-858-A00-902-A01-946-C41-949-B-987-A-988-A01-989-C41-991-C41-992-A01-993-B0010-994-B-,1,60,5905
14,5,20,1.0,0.8181818181818182,0.13589415249850587,0.9,0.6428571428571429,0.3888888888888889,0.2631578947368421,0.18421052631578946,0.17213259316477408,4,0.1111111111111111,0.26315789473684215,0.48,0.4,0.7368421052631579,0.5882352941176471,0.72,0.64,0.7368421052631579,0.7058823529411765,0.20202020202020202,0.5,0.3277310924369748,20|1034-C41-1037-B-1078-A01-1122-A00-1165-B-1166-B001020-1167-B-1210-B00-1254-B-814-B-858-A00-902-A01-944-B-946-C41-949-B-987-B-988-B0010-989-C40-991-C41-992-A01-993-B001020-994-B00-995-B-,1,60,5906
7,12,20,1.0,0.6666666666666666,0.13589415249850587,0.5,0.5,0.5555555555555556,0.2631578947368421,0.19736842105263158,0.12765694770084507,4,0.1111111111111111,0.631578947368421,0.48,0.56,0.5,0.625,0.64,0.64,0.7,0.75,0.20833333333333334,0.3333333333333333,0.33620689655172414,20|1031-A-1034-C41-1078-A01-1122-A00-1165-B-1166-B001020-1167-B01-1168-A-1210-B0010-1211-B-1254-B-770-A-814-A01-858-A01-902-A01-946-C41-987-B11-988-A01-989-C41-991-C41-992-A01-993-A01-994-A-,1,60,5907
13,6,20,1.0,0.6363636363636364,0.1215474250925528,0.8,0.6428571428571429,0.3888888888888889,0.2631578947368421,0.18421052631578946,0.17213259316477408,4,0.1111111111111111,0.3157894736842105,0.3333333333333333,0.32,0.7619047619047619,0.5882352941176471,0.5833333333333334,0.56,0.7619047619047619,0.7058823529411765,0.2597402597402597,0.5,0.4105263157894737,20|1032-B-1034-C41-1078-A01-1122-A00-1165-B-1166-B001020-1167-B-1210-B10-1211-B-770-B-814-B00-858-A00-900-B-902-A01-943-A-944-B0021-946-C41-987-B-988-B001020-989-C40-991-C41-992-A01-993-B-,1,60,5908
9,10,20,1.0,0.6666666666666666,0.13589415249850587,0.7142857142857143,0.6428571428571429,0.3333333333333333,0.2631578947368421,0.18421052631578946,0.17213259316477408,4,0.1111111111111111,0.5263157894736842,0.4,0.32,0.5,0.625,0.64,0.64,0.7,0.75,0.20833333333333334,0.3333333333333333,0.33620689655172414,20|1034-C41-1037-A-1078-A01-1122-A00-1165-B-1166-B001020-1167-B-1209-A-1210-B0121-1254-A-770-A-814-A01-858-A01-902-A01-944-B-946-C41-987-B-988-B0010-989-C40-991-C41-992-A01-993-B0021-994-B-,1,60,5909
9,10,20,1.0,0.5833333333333334,0.15789473684210528,0.8571428571428571,0.5714285714285714,0.5,0.2631578947368421,0.18421052631578946,0.17213259316477408,4,0.3333333333333333,0.5263157894736842,0.4166666666666667,0.4,0.5714285714285714,0.625,0.5833333333333334,0.56,0.7619047619047619,0.75,0.23809523809523808,0.5,0.3786407766990291,20|1032-B-1034-C41-1078-A01-1120-B-1121-A01-1122-B011121-1123-A-1166-A01-1210-A01-1254-A-770-B-814-A01-858-A01-900-B-902-A01-944-B00-946-C41-987-B-988-B001020-989-C40-991-C41-992-A01-993-B-,1,60,5910
